prune_mutation_chance	hoist_mutation_chance	grow_leaf_mutation_chance	grow_root_mutation_chance	simplify_chance	n	mutation_children	crossover_children	error
0.16573160478650842	0.42497081330421577	0.08947086046651727	0.13282179432961377	0.2373052036883777	50	5	5	0.00968686316820863
0.17566157762014303	0.12000381893585792	0.23768828711027878	0.15715565093956493	0.2661453632334173	50	5	5	0.00968686316820863
0.335445759700194	0.1789230469236492	0.0999698207760693	0.09987817811222445	0.381849046308555	80	3	1	0.010782909856676313
0.3563355853468557	0.13626221553843035	0.2102639333551917	0.06692997970965929	0.3820401068857986	130	5	5	0.011107176649949828
0.5407047946462671	0.13273418443296495	0.021180389798090955	0.18790360837583417	0.5814724973187521	80	1	2	0.011108669230269904
0.1660119700711978	0.0872690832080073	0.2843871460832601	0.08159118877063085	0.912681917696406	20	1	1	0.011261365253691945
0.108611573176771	0.21682131542426664	0.3587531609352877	0.2983006214082458	0.7855735070390756	20	1	2	0.011332843134859777
0.14265707064824742	0.2917382365092311	0.24560351603685301	0.029032335115260363	0.7459746555626608	80	1	1	0.011372682035629175
0.18565662082725018	0.2699176330929246	0.28934536824919704	0.23688945491041608	0.1772832759289733	80	1	5	0.011399060206636337
0.04436860208262085	0.35089583848833433	0.23541052847028116	0.28741708820119494	0.323137331588333	50	1	2	0.01148980352397243
0.2604423841309253	0.15867698308727324	0.2759347462133492	0.28895749253381636	0.650566194737141	80	5	3	0.011492699483839085
0.05472686087829824	0.2436411690871526	0.10755990908607407	0.2923722852166361	0.6946833070694134	80	2	3	0.011501835396963058
0.01992258541181257	0.1670561753095665	0.06375311702005121	0.43404309827570003	0.7295232152931957	20	5	5	0.011523937187967771
0.28279876855559893	0.1630988970351693	0.0007073073694129454	0.16391859955788382	0.4234487978528678	130	2	2	0.011644964977681763
0.40349043983279254	0.12643586377255775	0.20642373919639465	0.16419983445834674	0.09540467020855192	30	1	2	0.011723161965319882
